127.0.0.1, 2020-10-29 14:51:37, GET, /admin/default/site, HTTP/1.1, 303, 0.148482
127.0.0.1, 2020-10-29 14:51:37, GET, /admin/default/index, HTTP/1.1, 200, 0.040308
127.0.0.1, 2020-10-29 14:51:37, GET, /admin/static/_2.20.4/js/jquery.js, HTTP/1.1, 200, 0.000513
127.0.0.1, 2020-10-29 14:51:37, GET, /admin/static/_2.20.4/css/calendar.css, HTTP/1.1, 200, 0.000614
127.0.0.1, 2020-10-29 14:51:37, GET, /admin/static/_2.20.4/js/calendar.js, HTTP/1.1, 200, 0.001865
127.0.0.1, 2020-10-29 14:51:37, GET, /admin/static/_2.20.4/js/web2py.js, HTTP/1.1, 200, 0.001366
127.0.0.1, 2020-10-29 14:51:37, GET, /admin/static/_2.20.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001694
127.0.0.1, 2020-10-29 14:51:37, GET, /admin/static/_2.20.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.008194
127.0.0.1, 2020-10-29 14:51:37, GET, /admin/static/_2.20.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.005951
127.0.0.1, 2020-10-29 14:51:37, GET, /admin/static/_2.20.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.001808
127.0.0.1, 2020-10-29 14:51:37, GET, /admin/static/_2.20.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003862
127.0.0.1, 2020-10-29 14:51:37, GET, /admin/static/_2.20.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.004651
127.0.0.1, 2020-10-29 14:51:37, GET, /admin/static/_2.20.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.009646
127.0.0.1, 2020-10-29 14:51:37, GET, /admin/static/_2.20.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.002532
127.0.0.1, 2020-10-29 14:51:37, GET, /admin/static/_2.20.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.004105
127.0.0.1, 2020-10-29 14:51:37, GET, /admin/static/_2.20.4/images/questions.png, HTTP/1.1, 200, 0.000606
127.0.0.1, 2020-10-29 14:51:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000306
127.0.0.1, 2020-10-29 14:51:41, GET, /, HTTP/1.1, 303, 0.000519
127.0.0.1, 2020-10-29 14:51:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.016156
127.0.0.1, 2020-10-29 14:51:41, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002457
127.0.0.1, 2020-10-29 14:51:41, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002167
127.0.0.1, 2020-10-29 14:51:41, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002182
127.0.0.1, 2020-10-29 14:51:41, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.004735
127.0.0.1, 2020-10-29 14:51:41, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000552
127.0.0.1, 2020-10-29 14:51:41, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000472
127.0.0.1, 2020-10-29 14:51:41, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000656
127.0.0.1, 2020-10-29 14:51:41, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001107
127.0.0.1, 2020-10-29 14:51:41, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000827
127.0.0.1, 2020-10-29 14:51:41, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000456
127.0.0.1, 2020-10-29 14:51:41, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000637
127.0.0.1, 2020-10-29 14:51:47, POST, /admin/default/index, HTTP/1.1, 303, 0.008487
127.0.0.1, 2020-10-29 14:51:47, GET, /admin/default/site, HTTP/1.1, 200, 0.053487
127.0.0.1, 2020-10-29 14:51:47, GET, /admin/static/_2.20.4/images/folder_locked.png, HTTP/1.1, 200, 0.000560
127.0.0.1, 2020-10-29 14:51:47, GET, /admin/static/_2.20.4/images/folder.png, HTTP/1.1, 200, 0.000544
127.0.0.1, 2020-10-29 14:51:47, POST, /admin/default/check_version, HTTP/1.1, 200, 0.316234
127.0.0.1, 2020-10-29 14:51:47, GET, /admin/static/_2.20.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000419
127.0.0.1, 2020-10-29 14:52:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.022088
127.0.0.1, 2020-10-29 14:52:23, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000696
127.0.0.1, 2020-10-29 14:52:23, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000425
127.0.0.1, 2020-10-29 14:52:23, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000928
127.0.0.1, 2020-10-29 14:52:23, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000542
127.0.0.1, 2020-10-29 14:52:23, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000451
127.0.0.1, 2020-10-29 14:52:23, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002453
127.0.0.1, 2020-10-29 14:52:23, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000832
127.0.0.1, 2020-10-29 14:52:23, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.000500
127.0.0.1, 2020-10-29 14:52:23, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000465
127.0.0.1, 2020-10-29 14:52:23, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000407
127.0.0.1, 2020-10-29 14:52:25, GET, /admin/default/site, HTTP/1.1, 303, 0.004026
127.0.0.1, 2020-10-29 14:52:25, GET, /admin/default/index, HTTP/1.1, 200, 0.013144
127.0.0.1, 2020-10-29 14:52:25, GET, /admin/static/_2.20.4/js/jquery.js, HTTP/1.1, 200, 0.000568
127.0.0.1, 2020-10-29 14:52:25, GET, /admin/static/_2.20.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001348
